"LGA_CODE_2017","LGA_NAME_2017","PHN_CODE_2017","PHN_NAME_2017","RATIO","PERCENTAGE"
54130,"Jerramungup (S)","PHN503","Country WA",1,100
54170,"Joondalup (C)","PHN501","Perth North",1,100
54200,"Kalamunda (C)","PHN501","Perth North",1,100
54280,"Kalgoorlie/Boulder (C)","PHN503","Country WA",1,100
54310,"Karratha (C)","PHN503","Country WA",1,100
54340,"Katanning (S)","PHN503","Country WA",1,100
54410,"Kellerberrin (S)","PHN503","Country WA",1,100
54480,"Kent (S)","PHN503","Country WA",1,100
54550,"Kojonup (S)","PHN503","Country WA",1,100
54620,"Kondinin (S)","PHN503","Country WA",1,100
54690,"Koorda (S)","PHN503","Country WA",1,100
54760,"Kulin (S)","PHN503","Country WA",1,100
54830,"Kwinana (C)","PHN502","Perth South",1,100
54900,"Lake Grace (S)","PHN503","Country WA",1,100
54970,"Laverton (S)","PHN503","Country WA",1,100
55040,"Leonora (S)","PHN503","Country WA",1,100
55110,"Mandurah (C)","PHN502","Perth South",1,100
55180,"Manjimup (S)","PHN503","Country WA",1,100
55250,"Meekatharra (S)","PHN503","Country WA",1,100
55320,"Melville (C)","PHN502","Perth South",1,100
55390,"Menzies (S)","PHN503","Country WA",1,100
55460,"Merredin (S)","PHN503","Country WA",1,100
55530,"Mingenew (S)","PHN503","Country WA",1,100
55600,"Moora (S)","PHN503","Country WA",1,100
55670,"Morawa (S)","PHN503","Country WA",1,100
55740,"Mosman Park (T)","PHN501","Perth North",1,100
55810,"Mount Magnet (S)","PHN503","Country WA",1,100
55880,"Mount Marshall (S)","PHN503","Country WA",1,100
55950,"Mukinbudin (S)","PHN503","Country WA",1,100
56090,"Mundaring (S)","PHN501","Perth North",1,100
56160,"Murchison (S)","PHN503","Country WA",1,100
56230,"Murray (S)","PHN502","Perth South",1,100
56300,"Nannup (S)","PHN503","Country WA",1,100
56370,"Narembeen (S)","PHN503","Country WA",1,100
56460,"Narrogin (S)","PHN503","Country WA",1,100
56580,"Nedlands (C)","PHN501","Perth North",1,100
56620,"Ngaanyatjarraku (S)","PHN503","Country WA",1,100
56730,"Northam (S)","PHN503","Country WA",1,100
56790,"Northampton (S)","PHN503","Country WA",1,100
56860,"Nungarin (S)","PHN503","Country WA",1,100
56930,"Peppermint Grove (S)","PHN501","Perth North",1,100
57000,"Perenjori (S)","PHN503","Country WA",1,100
57080,"Perth (C)","PHN501","Perth North",1,100
57140,"Pingelly (S)","PHN503","Country WA",1,100
57210,"Plantagenet (S)","PHN503","Country WA",1,100
57280,"Port Hedland (T)","PHN503","Country WA",1,100
57350,"Quairading (S)","PHN503","Country WA",1,100
57420,"Ravensthorpe (S)","PHN503","Country WA",1,100
57490,"Rockingham (C)","PHN502","Perth South",1,100
57630,"Sandstone (S)","PHN503","Country WA",1,100
57700,"Serpentine-Jarrahdale (S)","PHN502","Perth South",1,100
57770,"Shark Bay (S)","PHN503","Country WA",1,100
57840,"South Perth (C)","PHN502","Perth South",1,100
57910,"Stirling (C)","PHN501","Perth North",1,100
57980,"Subiaco (C)","PHN501","Perth North",1,100
58050,"Swan (C)","PHN501","Perth North",1,100
58190,"Tammin (S)","PHN503","Country WA",1,100
58260,"Three Springs (S)","PHN503","Country WA",1,100
58330,"Toodyay (S)","PHN503","Country WA",1,100
58400,"Trayning (S)","PHN503","Country WA",1,100
58470,"Upper Gascoyne (S)","PHN503","Country WA",1,100
58510,"Victoria Park (T)","PHN502","Perth South",1,100
58540,"Victoria Plains (S)","PHN503","Country WA",1,100
58570,"Vincent (C)","PHN501","Perth North",1,100
58610,"Wagin (S)","PHN503","Country WA",1,100
58680,"Wandering (S)","PHN503","Country WA",1,100
58760,"Wanneroo (C)","PHN501","Perth North",1,100
58820,"Waroona (S)","PHN502","Perth South",1,100
58890,"West Arthur (S)","PHN503","Country WA",1,100
59030,"Westonia (S)","PHN503","Country WA",1,100
59100,"Wickepin (S)","PHN503","Country WA",1,100
59170,"Williams (S)","PHN503","Country WA",1,100
59250,"Wiluna (S)","PHN503","Country WA",1,100
59310,"Wongan-Ballidu (S)","PHN503","Country WA",1,100
59320,"Woodanilling (S)","PHN503","Country WA",1,100
59330,"Wyalkatchem (S)","PHN503","Country WA",1,100
59340,"Wyndham-East Kimberley (S)","PHN503","Country WA",1,100
59350,"Yalgoo (S)","PHN503","Country WA",1,100
59360,"Yilgarn (S)","PHN503","Country WA",1,100
59370,"York (S)","PHN503","Country WA",1,100
60210,"Break O'Day (M)","PHN601","Tasmania",1,100
60410,"Brighton (M)","PHN601","Tasmania",1,100
60610,"Burnie (C)","PHN601","Tasmania",1,100
60810,"Central Coast (M) (Tas.)","PHN601","Tasmania",1,100
61010,"Central Highlands (M) (Tas.)","PHN601","Tasmania",1,100
61210,"Circular Head (M)","PHN601","Tasmania",1,100
61410,"Clarence (C)","PHN601","Tasmania",1,100
61510,"Derwent Valley (M)","PHN601","Tasmania",1,100
61610,"Devonport (C)","PHN601","Tasmania",1,100
61810,"Dorset (M)","PHN601","Tasmania",1,100
62010,"Flinders (M) (Tas.)","PHN601","Tasmania",1,100
62210,"George Town (M)","PHN601","Tasmania",1,100
62410,"Glamorgan/Spring Bay (M)","PHN601","Tasmania",1,100
62610,"Glenorchy (C)","PHN601","Tasmania",1,100
62810,"Hobart (C)","PHN601","Tasmania",1,100
63010,"Huon Valley (M)","PHN601","Tasmania",1,100
63210,"Kentish (M)","PHN601","Tasmania",1,100
63410,"King Island (M)","PHN601","Tasmania",1,100
63610,"Kingborough (M)","PHN601","Tasmania",1,100
63810,"Latrobe (M) (Tas.)","PHN601","Tasmania",1,100
64010,"Launceston (C)","PHN601","Tasmania",1,100
64210,"Meander Valley (M)","PHN601","Tasmania",1,100
64610,"Northern Midlands (M)","PHN601","Tasmania",1,100
64810,"Sorell (M)","PHN601","Tasmania",1,100
65010,"Southern Midlands (M)","PHN601","Tasmania",1,100
65210,"Tasman (M)","PHN601","Tasmania",1,100
65410,"Waratah/Wynyard (M)","PHN601","Tasmania",1,100
65610,"West Coast (M)","PHN601","Tasmania",1,100
65810,"West Tamar (M)","PHN601","Tasmania",1,100
70200,"Alice Springs (T)","PHN701","Northern Territory",1,100
70420,"Barkly (R)","PHN701","Northern Territory",1,100
70540,"Belyuen (S)","PHN701","Northern Territory",1,100
70620,"Central Desert (R)","PHN701","Northern Territory",1,100
70700,"Coomalie (S)","PHN701","Northern Territory",1,100
71000,"Darwin (C)","PHN701","Northern Territory",1,100
71300,"East Arnhem (R)","PHN701","Northern Territory",1,100
72200,"Katherine (T)","PHN701","Northern Territory",1,100
72300,"Litchfield (M)","PHN701","Northern Territory",1,100
72330,"MacDonnell (R)","PHN701","Northern Territory",1,100
72800,"Palmerston (C)","PHN701","Northern Territory",1,100
73600,"Roper Gulf (R)","PHN701","Northern Territory",1,100
74050,"Tiwi Islands (R)","PHN701","Northern Territory",1,100
74550,"Victoria Daly (R)","PHN701","Northern Territory",1,100
74560,"Wagait (S)","PHN701","Northern Territory",1,100
74660,"West Arnhem (R)","PHN701","Northern Territory",1,100
74680,"West Daly (R)","PHN701","Northern Territory",1,100
79399,"Unincorporated NT","PHN701","Northern Territory",1,100
89399,"Unincorporated ACT","PHN801","Australian Capital Territory",1,100
99399,"Unincorp. Other Territories","PHN101","Central and Eastern Sydney",0.3899274,38.9927393
99399,"Unincorp. Other Territories","PHN106","South Eastern NSW",0.0862107,8.6210672
99399,"Unincorp. Other Territories","PHN502","Perth South",0.5238619,52.3861936
