"LGA_CODE_2017","LGA_NAME_2017","PHN_CODE_2017","PHN_NAME_2017","RATIO","PERCENTAGE"
26890,"West Wimmera (S)","PHN206","Western Victoria",1,100
26980,"Whitehorse (C)","PHN202","Eastern Melbourne",1,100
27070,"Whittlesea (C)","PHN202","Eastern Melbourne",1,100
27170,"Wodonga (C)","PHN205","Murray",1,100
27260,"Wyndham (C)","PHN201","North Western Melbourne",1,100
27350,"Yarra (C)","PHN201","North Western Melbourne",1,100
27450,"Yarra Ranges (S)","PHN202","Eastern Melbourne",0.9965094,99.6509386
27450,"Yarra Ranges (S)","PHN203","South Eastern Melbourne",0.0022468,0.2246832
27450,"Yarra Ranges (S)","PHN205","Murray",0.0012438,0.1243781
27630,"Yarriambiack (S)","PHN206","Western Victoria",1,100
29399,"Unincorporated Vic","PHN204","Gippsland",0.1700682,17.0068247
29399,"Unincorporated Vic","PHN205","Murray",0.8299317,82.9931742
