"state","country","date","cases"
"North Rhine-Westphalia","Germany",2020-03-31,15622
"North Rhine-Westphalia","Germany",2020-04-01,16781
"North Rhine-Westphalia","Germany",2020-04-02,17992
"North Rhine-Westphalia","Germany",2020-04-03,19046
"North Rhine-Westphalia","Germany",2020-04-04,19727
"North Rhine-Westphalia","Germany",2020-04-05,20231
"North Rhine-Westphalia","Germany",2020-04-06,21114
"North Rhine-Westphalia","Germany",2020-04-07,22034
"North Rhine-Westphalia","Germany",2020-04-08,23089
"North Rhine-Westphalia","Germany",2020-04-09,24097
"North Rhine-Westphalia","Germany",2020-04-10,24706
"North Rhine-Westphalia","Germany",2020-04-11,25294
"North Rhine-Westphalia","Germany",2020-04-12,25682
"North Rhine-Westphalia","Germany",2020-04-13,25977
"North Rhine-Westphalia","Germany",2020-04-14,26502
"North Rhine-Westphalia","Germany",2020-04-15,27166
"North Rhine-Westphalia","Germany",2020-04-16,27899
"North Rhine-Westphalia","Germany",2020-04-17,28534
"North Rhine-Westphalia","Germany",2020-04-18,29003
"North Rhine-Westphalia","Germany",2020-04-19,29336
"North Rhine-Westphalia","Germany",2020-04-20,29895
