city,state,country,continent,doe_date,doe_date_info,pdist_date,pdist_date_info,pdist_federal_state,pdist_announced_by,pdist_enforcement,pdist_notes,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,wikipedia_timeline
Manchester,North West,United Kingdom,Europe,,,2020-03-16,SocialDistEncouraged,federal,,,"2020-03-16: PM says everyone should avoid office, pubs and travelling (citation 1); 2020-03-18: UK would close schools to most pupils - started 2020-03-20 (citation 2); 2020-03-20: All restaurants and indoor sport and leisure facilities were ordered to close (citation 3); 2020-03-23: restrictions tightened, gatherings banned >2 people (citation 4/5)",https://www.bbc.com/news/uk-51917562,https://www.bbc.com/news/uk-51952314,https://web.archive.org/web/20200323004800/http://www.legislation.gov.uk/uksi/2020/327/pdfs/uksi_20200327_en.pdf,https://www.bbc.com/news/uk-52012432,https://www.thesun.co.uk/news/11238270/gatherings-two-people-banned/,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_Kingdom
Melbourne,Victoria,Australia,Australia,,,2020-03-13,GathRest500,federal,prime minister,advised,"2020-03-13: Prime Minister ""suggests"" cancellation of events> 500 people (schools excluded), comes into effect 2020-03-15 (citation 1); 2020-03-18: human biosecurity emergency (national) (citation 2); 2020-30-20: governments of New South Wales and Victoria imposed a mandatory closure of non-essential services (citation 3)",https://www.abc.net.au/news/2020-03-13/coronavirus-scott-morrison-coag-premiers-cancelling-events/12053382,https://www.theguardian.com/world/live/2020/mar/13/australia-coronavirus-live-news-formula-one-f1-gp-grand-prix-melbourne-australian-government-stimulus-economic-package-asx200-latest-updates?page=with:block-5e6b07f08f08c2df6d278c18#block-5e6b07f08f08c2df6d278c18,https://www.theguardian.com/world/live/2020/mar/13/australia-coronavirus-live-news-formula-one-f1-gp-grand-prix-melbourne-australian-government-stimulus-economic-package-asx200-latest-updates?page=with:block-5e6b07f08f08c2df6d278c18#block-5e6b07f08f08c2df6d278c18https://www.theguardian.com/world/live/2020/mar/22/coronavirus-updates-live-australia-nsw-victoria-qld-tasmania-cases-government-stimulus-latest-update-news,,,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia
Mexico City,,Mexico,North America,,,2020-03-14,ClosurePublicSpaces,,,,"2020-03-14: The national autonomous university of Mexico suspended in person classes and authorities canceled or postponed major tourist events in Guadalajara and Merida (citation 1); 2020-03-14: the Secretariat of Public Education (SEP) announced that all sporting and civic events in schools would be canceled. The same day, the Secretariat of Education announced that Easter break, originally planned from 6 to 17 April, would be extended from 20 March to 20 April as a preventive measure.[29] The; 2020-03-22: Mexico City closes bars, nightclubs, movie theatres and museums (citation 2); 2020-03-23: National Campaign of Healthy Distancing, a national program of non-pharmaceutical measures was launched ",https://www.informador.mx/mexico/Suspenden-actividades-masivas-por-coronavirus-20200313-0020.html,https://www.eluniversal.com.mx/english/mexico-city-closes-museums-bars-nightclubs-and-movie-theaters-bid-halt-coronavirus-spread,https://www.jornada.com.mx/ultimas/politica/2020/03/23/comienza-la-jornada-nacional-de-sana-distancia-1056.html,,,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mexico
Milan,Lombardia,Italy,Europe,,,2020-03-08,GathRestAll,regional,,,"2020-01-31: Italty declares state of emergency (citation 1); 2020-02-23: Italian authorities have shut down 11 towns, mainly in the the Lombardy region (citation 2); 2020-03-08: Anyone living in Lombardy and 14 other central and northern provinces will need special permission to travel - Milan and Venice affected (citation 3); 2020-03-09: Nationwide quarantine announced (came into effect 2020-03-10, hardened 2020-03-11) (citation 4) ",https://www.cnbc.com/2020/01/31/reuters-america-update-2-italy-declares-coronavirus-emergency-after-first-two-cases-confirmed.html,https://www.theguardian.com/world/2020/feb/23/italy-draconian-measures-effort-halt-coronavirus-outbreak-spread,https://www.bbc.com/news/world-middle-east-51787238,https://www.bbc.com/news/world-europe-51810673,https://www.mirror.co.uk/news/world-news/breaking-coronavirus-italy-bans-public-21663203,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy
Monaco,,Monaco,Europe,,,2020-03-13,GathRest100,federal,,,"2020-03-13: Bans gatherings of more than 100 people (citation 2); 2020-03-14: Government ordered closing of nurseries, gyms, parks, monuments and schools (citation 1) ",https://www.hellomonaco.com/news/latest-news/closure-of-creches-and-schools-in-monaco-and-increasing-prudent-restrictions-due-to-coronavirus/,https://forbes.mc/article/coronavirus-monaco-bans-gatherings-of-more-than-100-people,https://lagazettedemonaco.com/en/interdiction-des-regroupements-de-plus-de-100-personnes/,,,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Monaco
Montréal,Quebec,Canada,North America,2020-03-13,DOE,2020-03-13,GathRest250,provincial,premier,ordered cancellation,2020-03-12: calling organizers to cancel large indoor events, 2020-03-13: all events >250 people are banned (per the Premier), City of Montreal state of emergency: 2020-03-27,https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/,https://globalnews.ca/news/6743123/coronavirus-montreal-declares-state-of-emergency-as-number-of-covid-19-cases-reaches-971/,https://montrealgazette.com/news/local-news/covid-19-montreal-st-patricks-parade-postponed-events-drawing-250-or-more-cancelled/,,,https://montreal.ctvnews.ca/covid-19-legault-calls-for-cancellation-of-all-events-larger-than-250-people-1.4850076
Moscow,Moscow,Russia,Europe,,,2020-03-24,ClosurePublicSpaces,federal,,,"2020-03-24: Chechnya became first region to close restaurants, cafes and crowded places (citation 1); 2020-03-24: Russian government adopted a number of decisions, including an instruction to regional authorities to suspend activities of night clubs, cinemas, children's entertainment centres, ban hookah smoking at restaurants and cafes; 2020-03-29: Stay at home order; 2020-03-30: Russia will close borders, Moscow enacted a citywide quarantine",https://www.themoscowtimes.com/2020/03/31/coronavirus-in-russia-the-latest-news-march-31-a69117,http://government.ru/orders/selection/401/39260/,,,,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Russia
New York City,New York,United States,North America,2020-03-07,DOE,2020-03-12,GathRest500,,,,2020-03-12: GathRest500, 2020-03-16: GathRest50,https://www.governor.ny.gov/sites/governor.ny.gov/files/atoms/files/EO_202.pdf,https://www.governor.ny.gov/news/during-novel-coronavirus-briefing-governor-cuomo-announces-new-mass-gatherings-regulations,https://www.governor.ny.gov/sites/governor.ny.gov/files/atoms/files/EO_202.3.pdf,,,,
Paris,,France,Europe,,,2020-03-09,GathRest1000,federal,prime minister,bans,"2020-03-09: Bans gatherings > 1000 people; 2020-03-13: Bans gatherings of >100 people (citation 1); 2020-03-14: closure of many cultural institutions, mainly in Paris or the greater Paris region; closure of non-essential businesses; 2020-03-17: national lockdown starting at noon (citation 2)",https://www.thelocal.fr/20200313/france-bans-gatherings-of-over-100-people-to-fight-coronavirus-pandemic,https://www.independent.co.uk/news/world/europe/coronavirus-france-lockdown-cases-update-covid-19-macron-a9405136.html,http://www.rfi.fr/en/france/20200309-france-bans-public-gatherings-1000-people-over-coronavirus,,,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_France
Philadelphia,Pennsylvania,United States,North America,2020-03-06,DOE,2020-03-12,GathRest250,,,,2020-03-16: GathRest50,https://www.scribd.com/document/450457202/2020-3-6-COVID19-Digital-Proclamation-pdf#from_embed,https://www.yonkerstribune.com/2020/03/amid-lack-of-federal-direction-governors-cuomo-murphy-lamont-and-wolf-announce-regional-approach-to-combatting-covid-19,https://www.timesleader.com/news/776061/wolf-recommends-suspending-large-gatherings-discourages-non-essential-travel,,,,,
